HTTPClient HTTPClient
avalon-logging avalon-logging-logkit-datagram
avalon-logging avalon-logging-logkit-socket
avalon-logging avalon-logging-logkit-syslog
avalon-phoenix avalon-phoenix-bsh-commands
avalon-phoenix avalon-phoenix-engine
avalon-phoenix avalon-phoenix-loader
avalon-phoenix avalon-phoenix-metagenerate
avalon-util avalon-plugin
axis axis-schema
axis2 addressing
axis2 axis2
axis2 axis2-adb
axis2 axis2-codegen
axis2 axis2-core
axis2 axis2-doom
azote xmlstubs
backport-util-concurrent backport-util-concurrent-java12
backport175 backport175-intellij
batik batik-1.5-fop
batik batik-rasterizer-ext
be.cyberelf.nanoxml lite
be.cyberelf.nanoxml nanoxml
be.hikage hikage-parent
be.objectify objectify-led
beehive apache-xbean-beehive
beehive beehive-netui-compiler
beehive beehive-netui-pageflow
beehive beehive-netui-scoping
beehive beehive-netui-tags-databinding
beehive beehive-netui-tags-html
beehive beehive-netui-tags-template
beehive beehive-netui-util
beehive controls
beehive wsdltypes-beehive
beehive wsm
beehive wsm-axis
berkano seraph
berkano seraph-0.7.9-berkano
berkeleydb berkeleydb-native
biz.freshcode.b-generation b-generation
biz.neustar.maven.plugins sitebricks-doc-generator
bouncycastle bcmail-jdk15
bouncycastle bcmail-jdk16
bouncycastle bcpg-jdk13
bouncycastle bcpg-jdk15
bouncycastle bcprov-jdk12
bouncycastle bcprov-jdk13
bouncycastle bctsp-jdk14
bouncycastle bouncycastle-jce-jdk13
boxstuff maven-codeguide-plugin
br.com.caelum.tubaina tubaina
br.com.caelum.tubaina tubaina-tester
br.com.caelum.vraptor vraptor-environment
br.com.caelum.vraptor vraptor-neo4j
br.com.caelum.vraptor vraptor-plugin-hibernate4
br.com.caelum.vraptor vraptor-test
br.com.ingenieux.cloudy cloudy-parent
br.eti.kinoshita selenium2-base
br.gov.frameworkdemoiselle demoiselle-jsf-parent
bsh bsh-bsf
burlap burlap
ca.grimoire mainspring
ca.grimoire todo-annotations
ca.grimoire.postgresql postgresql
ca.odell glazedlists
ca.pgon helpers
cargo cargo-ant
cargo cargo-core-uberjar
cargo cargo-intellijidea
cargo cargo-netbeans-maven-ui
cas cas
cc.catalysts cdoclet
cc.catalysts metaas
cc.co.scala-reactive reactive-core_2.8.1
cc.co.scala-reactive reactive-web_2.8.1
cc.redberry core
cc.spray spray-client_2.9.0-1
cc.spray spray-http_2.9.0-1
cc.spray spray-server_2.9.0-1
cc.spray spray_2.8.1
cc.spray.can spray-can
cc.spray.can spray-can_2.9.1
cc.spray.json spray-json_2.9.0-1
cc.spray.json spray-json_2.9.1
cglib cglib-asm
ch.ledcom.agent.jmx jmx-rmi-agent
ch.nerdin testdata-framework
ch.rolandschaer.ascrblr ascrblr
ch.sahits sahitsUtil
ch.sahits.game GameEvent
ch.sahits.game Rendering
charlotte charlotte
clirr clirr
cn.org.rapid parent
coconut coconut-aio-impl
coconut coconut-aio-tck
cocoon cocoon-ajax
cocoon cocoon-captcha
cocoon cocoon-jcr
cocoon cocoon-validation
cocoon cocoon-xsltal
code316 code316-core
com.3levers.cssselectors cssselectors
com.activequant aq2o
com.admc xcsde-rngval
com.adobe.acrobat acrobat
com.adobe.xmp xmpcore
com.aetrion.flickr flickrapi
com.agilepirates mavenium
com.akathist.maven.plugins.launch4j launch4j-maven-plugin
com.alexgilleran icesoap-aggregator
com.alexgilleran icesoap.example
com.alexgilleran icesoap.test
com.aliyun.openservices aliyun-openservices
com.alkacon alkacon-diff
com.alkacon alkacon-simapi
com.amazon.aes.webservices.client ec2-java-client
com.amazonaws.s3 jets3t
com.android common
com.android.ddmlib ddmlib
com.android.prefs androidprefs
com.android.tools.lint lint
com.android.tools.lint lint_api
com.android.tools.lint.checks lint_checks
com.apple AppleJavaExtensions
com.aragost.javahg javahg-ext-purge
com.assembla.scala-incubator graph-constrained_2.9.1
com.assembla.scala-incubator graph-json_2.9.1
com.asual.lesscss lesscss
com.atomicleopard webelemental
com.atomikos atomikos-util
com.atomikos transactions
com.atomikos transactions-api
com.atomikos transactions-jta
com.augusttechgroup ratpack-core
com.axlradius ftpserver
com.basho.riak.hadoop riak-hadoop
com.baulsupp.kolja kolja-parent
com.baulsupp.kolja kolja-reports
com.bea.wlplatform commonj-twm
com.bea.xml jsr173-ri
com.beetstra.jutf7 jutf7
com.beust jbus
com.bimbr clisson-protocol
com.bmsi gnudiff
com.borachio borachio_2.9.0-1
com.botplatform botplatform-sdk
com.btmatthews.maven.plugins emailserver-maven-plugin
com.btmatthews.mojo ldap-maven-plugin
com.btmatthews.utils monitor
com.bungleton yarrgs
com.c2.fit fit
com.canoo.webtest webtest
com.capgemini.platina platina-tests
com.capgemini.platina.maven platina-plugins
com.caringo.client CAStorSDK
com.carrotsearch hppc
com.caucho burlap
com.caucho hessian-flash
com.caucho hessian-flex
com.caucho resin
com.ckeditor ckeditor-java-core
com.ckkloverdos maybe_2.8.1
com.ckkloverdos maybe_2.8.2
com.ckkloverdos maybe_2.9.1
com.ckkloverdos sysprop_2.8.1
com.ckkloverdos sysprop_2.8.2
com.ckkloverdos sysprop_2.9.1
com.classactionpl.tz zoneinfo-tz
com.claudiushauptmann gwt-maps-gxt
com.claudiushauptmann gwt-maps-gxt-parent
com.claudiushauptmann gwt-recaptcha
com.claudiushauptmann gwt-recaptcha-parent
com.clearspring metricCatcher
com.codecommit anti-xml_2.8.2
com.codecommit gll-combinators_2.9.1
com.colorfulsoftware rsspect
com.commsen jwebthumb
com.commsen.stopwatch.api stopwatch
com.ctc.wstx woodstox-osgi
com.custardsource.dybdob java-diff-utils-copy
com.custardsource.parfait parfait-benchmark
com.cybozu.labs langdetect
com.dasberg.maven.plugins maven-closure-compiler-plugin
com.deftlabs mongo-java-logging
com.dinstone.ut faststub
com.discursive.maven disc-maven-skin
com.discursive.web.history history-filter
com.discursive.web.history history-model
com.dongxiguo commons-continuations_2.10.0-M1
com.dongxiguo commons-continuations_2.10.0-M2
com.dongxiguo scala-junction_2.10.0-M1
com.dongxiguo scala-junction_2.10.0-M2
com.dongxiguo scala-junction_2.8.0
com.dongxiguo scala-junction_2.8.1
com.dongxiguo scala-junction_2.8.2
com.dongxiguo scala-junction_2.9.0
com.dongxiguo scala-junction_2.9.0-1
com.dongxiguo scala-junction_2.9.1
com.dongxiguo scala-junction_2.9.1-1
com.dongxiguo zero-log_2.10.0-M1
com.dongxiguo zero-log_2.10.0-M2
com.dongxiguo zero-log_2.8.0
com.dongxiguo zero-log_2.8.1
com.dongxiguo zero-log_2.8.2
com.dongxiguo zero-log_2.9.0
com.dongxiguo zero-log_2.9.0-1
com.dongxiguo zero-log_2.9.1
com.dongxiguo zero-log_2.9.1-1
com.drewnoakes metadata-extractor
com.dtrules dsl
com.eaio.uuid uuid
com.ecyrd.simplejmx simplejmx
com.edugility h2-maven-plugin
com.emsoft emsoft-data-mongo
com.emsoft java-utils
com.emsoft java-utils-parent
com.enterprisedt edtFTPj
com.esotericsoftware.minlog minlog
com.esotericsoftware.reflectasm reflectasm
com.espertech esperio-amqp
com.exadel.flamingo flamingo-service-spring
com.exadel.flamingo.flamingoapp.projects flamingoapp-spring-project-maven2
com.exadel.flamingo.javafx flamingo-javafx
com.explodingpixels mac_widgets
com.ezware.oxbow TaskDialog
com.facebook thrift
com.famfamfam silk
com.fdsapi fdsapi
com.fernsroth.easyio easyio
com.flagstonesoftware transform-swf
com.flexiblewebsolutions.xmlstringparser xmlstringparser
com.flipthebird.gwt-hashcode-equals gwt-hashcode-equals
com.flotype.bridge bridge-java
com.flotype.bridge bridge-java-examples
com.flotype.bridge bridge-java-itests
com.flowlogix tapestry-services
com.flyobjectspace scala-lib_2.8.1
com.flyobjectspace scala-lib_2.9.0
com.fmpwizard lift-named-comet_2.8.1
com.fmpwizard lift-named-comet_2.8.2
com.fmpwizard lift-named-comet_2.9.0-1
com.fmpwizard lift-named-comet_2.9.1
com.force maven-force-plugin
com.foursquare foursquare-fhttp_2.8.1
com.foursquare foursquare-fhttp_2.9.1
com.foursquare rogue-field_2.9.1
com.framework-x jpa-plugin
com.geishatokyo.jetty.tests jetty-nosql-memcached-tests
com.gestalt.jbi.mock jbi-mock
com.gestalt.sip maven-compiler-plugin
com.gestalt.sip utilities
com.github.bassman5 maven-concordion-reporting-plugin
com.github.blueeyes blueeyes_2.8.0
com.github.corner lichen-project
com.github.febeling general-hash-functions
com.github.goldin about-maven-plugin
com.github.goldin assert-maven-plugin
com.github.goldin copy-maven-plugin
com.github.goldin duplicates-finder-plugin
com.github.goldin find-maven-plugin
com.github.goldin gcommons
com.github.goldin ivy-maven-plugin
com.github.goldin jenkins-maven-plugin
com.github.goldin mail-maven-plugin
com.github.goldin spring-batch-maven-plugin
com.github.goldin sshexec-maven-plugin
com.github.goldin timestamp-maven-plugin
com.github.htfv.maven.plugins build-configurator-build
com.github.javafaker javafaker
com.github.jaxb-xew-plugin jaxb-xew-plugin
com.github.joel1di1 spring-jndi-initializer
com.github.jpbetz cli-util
com.github.jponge lzma-java
com.github.jsuereth.scala-arm scala-arm_2.9.0
com.github.junrar junrar
com.github.lkoskela beaninject
com.github.mpeltonen sbt-idea
com.github.mvv.routineer routineer-scalaz_2.9.0-1
com.github.mvv.routineer routineer-scalaz_2.9.1
com.github.mvv.routineer routineer_2.9.0-1
com.github.mvv.routineer routineer_2.9.1
com.github.myst3r10n btc-loader_2.9.1
com.github.philcali cronish-app_2.8.1
com.github.philcali implicits_2.8.0
com.github.philcali implicits_2.8.1
com.github.philcali implicits_2.9.0
com.github.philcali library_2.7.7
com.github.philcali library_2.8.0
com.github.philcali library_2.8.1
com.github.philcali library_2.9.0
com.github.philcali lmxml-cache_2.8.0
com.github.philcali lmxml-cache_2.8.1
com.github.philcali lmxml-cache_2.8.2
com.github.philcali lmxml-cache_2.9.0
com.github.philcali lmxml-cache_2.9.0-1
com.github.philcali lmxml-cache_2.9.1
com.github.philcali lmxml-core_2.8.2
com.github.philcali lmxml-html_2.8.0
com.github.philcali lmxml-html_2.8.1
com.github.philcali lmxml-html_2.8.2
com.github.philcali lmxml-html_2.9.0
com.github.philcali lmxml-html_2.9.0-1
com.github.philcali lmxml-html_2.9.1
com.github.philcali lmxml-json_2.8.0
com.github.philcali lmxml-json_2.8.1
com.github.philcali lmxml-json_2.8.2
com.github.philcali lmxml-json_2.9.0
com.github.philcali lmxml-json_2.9.0-1
com.github.philcali lmxml-json_2.9.1
com.github.philcali lmxml-template_2.8.0
com.github.philcali lmxml-template_2.8.1
com.github.philcali lmxml-template_2.8.2
com.github.philcali lmxml-template_2.9.0
com.github.philcali lmxml-template_2.9.0-1
com.github.philcali lmxml-template_2.9.1
com.github.philcali lmxml_2.8.0
com.github.philcali lmxml_2.8.1
com.github.philcali lmxml_2.8.2
com.github.philcali lmxml_2.9.0
com.github.philcali lmxml_2.9.0-1
com.github.philcali lmxml_2.9.1
com.github.philcali monido-app_2.9.0-1
com.github.philcali monido_2.9.0-1
com.github.philcali scalendar_2.8.2
com.github.philcali scalendar_2.9.1-1
com.github.philcali scalendar_2.9.2
com.github.plecong hogan-groovy
com.github.praxissoftware.rest com.github.praxissoftware.rest
com.github.scala-incubator.io core-test_2.9.0.RC1
com.github.scala-incubator.io core_2.9.0-1
com.github.scala-incubator.io core_2.9.0.RC1
com.github.scala-incubator.io file-test_2.8.1
com.github.scala-incubator.io file-test_2.9.0
com.github.scala-incubator.io file_2.9.0-1
com.github.scala-incubator.io file_2.9.0.RC1
com.github.scala-incubator.io scala-io-core_2.9.2
com.github.scala-incubator.io scala-io-docs_2.9.1
com.github.scala-incubator.io scala-io-docs_2.9.2
com.github.scala-incubator.io scala-io-file_2.9.2
com.github.scala-incubator.io scala-io-performace_2.9.1
com.github.scala-incubator.io scala-io-performance_2.9.2
com.github.scala-incubator.io scala-io_2.9.2
com.github.scala-incubator.io web-site_2.8.1
com.github.scopt scopt_2.9.2
com.github.seratch httpilot
com.github.seratch memcachedweaver
com.github.seratch scalikesolr_2.9.2
com.github.seratch signedrequest4j
com.github.seratch testgen-core_2.9.0-1
com.github.seratch testgen-core_2.9.2
com.github.sgroschupf zkclient
com.github.sommeri less4j
com.github.stephenc.hector hector
com.github.technomancy swank-clojure
com.github.uncommon-configuration uncommon-configuration
com.github.velvia scala-storm_2.9.1
com.github.widebase widebase-broker_2.9.1
com.github.widebase widebase-csv-btc_2.9.1
com.github.widebase widebase-csv-filter_2.9.1
com.github.widebase widebase-csv-swfx_2.9.1
com.github.widebase widebase-csv_2.9.1
com.github.widebase widebase-db-column_2.9.1
com.github.widebase widebase-db-table_2.9.1
com.github.widebase widebase-db_2.9.1
com.github.widebase widebase-dsl_2.9.1
com.github.widebase widebase-io-column_2.9.1
com.github.widebase widebase-io-filter_2.9.1
com.github.widebase widebase-io-table_2.9.1
com.github.widebase widebase-rpc-cache_2.9.1
com.github.widebase widebase-util_2.9.1
com.gnizr.aduna aduna-clustermap-gnizr
com.google.android.tools dx
com.google.caliper caliper
com.google.code groovy-http
com.google.code jbusycomponent
com.google.code morphia
com.google.code sitemapgen4j
com.google.code.cli-parser cli
com.google.code.crawler-commons crawler-commons
com.google.code.facebook-java-api facebook-java-api
com.google.code.gaeom gaeom
com.google.code.greaze greaze-example-client
com.google.code.greaze greaze-example-definition
com.google.code.greaze greaze-example-server
com.google.code.guice guice
com.google.code.gwt-dnd gwt-dnd
com.google.code.gwt-dnd gwt-dragdrop
com.google.code.java-allocation-instrumenter java-allocation-instrumenter
com.google.code.javaparser javaparser
com.google.code.jbpm-guice jbpm3-guice-aggregator
com.google.code.jhtmldiff jhtmldiff
com.google.code.jsd-maven maven-jstestdriver-plugin
com.google.code.liquidform liquidform.jpa
com.google.code.p rupy
com.google.code.protoj protoj-exe-jdk6
com.google.code.protoj protoj-jdk5
com.google.code.protoj protoj-jdk6
com.google.code.sortpom maven-sortpom-plugin
com.google.code.tempus-fugit tempus-fugit
com.google.diffable diffable
com.google.gag gag
com.google.gag gag-agent
com.google.guava guava-parent-jdk5
com.google.gwt gwt-api-checker
com.google.gwt gwt-benchmark-viewer
com.google.gwt.google-apis google-apis-parent
com.google.gwt.google-apis gwt-ajaxloader
com.google.gwt.google-apis gwt-language
com.google.gwt.inject gin
com.google.jsilver jsilver
com.googlecode disruptor
com.googlecode gwt-math
com.googlecode gwt-math-server
com.googlecode jyield
com.googlecode kiama_2.9.0
com.googlecode kiama_2.9.0-1
com.googlecode kryo
com.googlecode mantis-java-api
com.googlecode maven-googlecode-changes-plugin
com.googlecode minlog
com.googlecode reflectasm
com.googlecode. google-api-translate-java
com.googlecode.cirrostratus cirrostratus
com.googlecode.eventio eventio-examples-parent
com.googlecode.fluido-skin fluido-skin
com.googlecode.flyway-test-extensions flyway-test-sample-dbunit
com.googlecode.flyway-test-extensions flyway-test-sample-spring256
com.googlecode.flyway-test-extensions flyway-test-sample-spring3
com.googlecode.foresite-toolkit foresite
com.googlecode.gentyref gentyref
com.googlecode.gflot gflot
com.googlecode.gwt-validation gwt-validation
com.googlecode.gwt-validation gwt-validation-parent
com.googlecode.gwt.inject gin
com.googlecode.gwtphonegap gwtphonegap
com.googlecode.gwtupload gwtupload-samples
com.googlecode.hiberpcml hiberpcml
com.googlecode.instinct instinct-core
com.googlecode.jarjar jarjar
com.googlecode.java-bit-arrays java-bit-arrays
com.googlecode.jchord confspellcheck
com.googlecode.jdbc-proc jdbc-proc-archetype
com.googlecode.jdbc-proc.jdbc-proc jdbc-proc
com.googlecode.jen-api jen-api
com.googlecode.jinahya activity-state-machine
com.googlecode.jinahya bit-accessible
com.googlecode.jinahya code4tv-mhp-1.1.2
com.googlecode.jinahya id-codec
com.googlecode.jinahya jinahya-persistence-api
com.googlecode.jinahya mhp-1.1.2
com.googlecode.jinahya servlet-helper
com.googlecode.jinahya twitter-xauth-client
com.googlecode.jpattern jpattern-cojen
com.googlecode.jpattern jpattern-jobexecutor
com.googlecode.jpattern jpattern-logger
com.googlecode.jsontoken jsontoken
com.googlecode.jsslutils jsslutils-test-helpers
com.googlecode.junice junice
com.googlecode.juniversalchardet juniversalchardet
com.googlecode.kiama kiama_2.9.1
com.googlecode.kiama kiama_2.9.2
com.googlecode.matrix-toolkits-java mtj
com.googlecode.maven-license-validator-plugin maven-license-validator-plugin
com.googlecode.metridoc metridoc-plugin-parent
com.googlecode.miyamoto miyamoto
com.googlecode.mobilityrpc mobility-rpc
com.googlecode.multithreadedtc multithreadedtc
com.googlecode.mycontainer maven-mycontainer-plugin
com.googlecode.mycontainer mycontainer
com.googlecode.mycontainer mycontainer-annotations
com.googlecode.mycontainer mycontainer-commons
com.googlecode.mycontainer mycontainer-cpscanner
com.googlecode.mycontainer mycontainer-datasource
com.googlecode.mycontainer mycontainer-ejb
com.googlecode.mycontainer mycontainer-gae
com.googlecode.mycontainer mycontainer-gae-web
com.googlecode.mycontainer mycontainer-jpa
com.googlecode.mycontainer mycontainer-junit-js
com.googlecode.mycontainer mycontainer-kernel
com.googlecode.mycontainer mycontainer-mail
com.googlecode.mycontainer mycontainer-oob
com.googlecode.mycontainer mycontainer-parent
com.googlecode.mycontainer mycontainer-servlet-commons
com.googlecode.mycontainer mycontainer-starter
com.googlecode.mycontainer mycontainer-usage-parent
com.googlecode.mycontainer mycontainer-web
com.googlecode.netlib-java netlib-java
com.googlecode.redbox-mint fcrepo-client
com.googlecode.redbox-mint redbox-meta
com.googlecode.redbox-mint redbox-vital-transformer
com.googlecode.reflective reflective_2.8.1
com.googlecode.reflective reflective_2.9.0
com.googlecode.reflective reflective_2.9.0-1
com.googlecode.s2rome struts2-rome-plugin
com.googlecode.sbinary sbinary
com.googlecode.scalaz scalaz-core_2.8.0
com.googlecode.scalaz scalaz-core_2.8.0.RC2
com.googlecode.scalaz scalaz-example_2.8.0
com.googlecode.scalaz scalaz-example_2.8.0.RC2
com.googlecode.scalaz scalaz-geo_2.8.0
com.googlecode.scalaz scalaz-geo_2.8.0.RC2
com.googlecode.scalaz scalaz-http_2.8.0
com.googlecode.scalaz scalaz-http_2.8.0.RC2
com.googlecode.scalaz scalaz-scalacheck-binding_2.8.0
com.googlecode.scalaz scalaz-scalacheck-binding_2.8.0.RC2
com.googlecode.scalaz scalaz-test-suite_2.8.0
com.googlecode.scalaz scalaz-test-suite_2.8.0.RC2
com.googlecode.shutdown-listener shutdown-listener
com.googlecode.simpleobjectassembler simpleobjectassembler
com.googlecode.sizeofag sizeofag
com.googlecode.solr-geonames solr-geonames
com.googlecode.solr-geonames solr-geonames-harvester
com.googlecode.solr-geonames solr-geonames-server
com.googlecode.soundlibs soundlibs
com.googlecode.streamflyer streamflyer-parent
com.googlecode.struts2-conversation struts2-conversation
com.googlecode.struts2-conversation struts2-conversation-config-browser-extension
com.googlecode.struts2yuiplugin struts2yuiplugin
com.googlecode.surfaceplotter surfaceplotter
com.googlecode.the-fascinator.maven-plugins schemagen
com.groupon.roboremote roboremote
com.gwtincubator gwt-incubator-security
com.hack23.cia build-modules
com.hack23.cia data-eu-itsyourparliament-api
com.hack23.cia data-riksdagen-se
com.hack23.cia service.api
com.hack23.cia service.component.agent.api
com.hack23.cia service.component.agent.impl
com.hack23.cia service.data.api
com.hack23.cia service.data.impl
com.hack23.cia service.impl
com.healthmarketscience.rmiio rmiio
com.hmsonline hms-cassandra-mapreduce
com.hp.hpl.jena concurrent-jena
com.hp.hpl.jena json-jena
com.ibm com.ibm.mq
com.ibm com.ibm.mqbind
com.ibm com.ibm.mqjms
com.ibm.io ibmaio
com.icegreen greenmail-jboss-service
com.incors kunstoff-laf
com.insanityengine ghia
com.intellij javaee-openapi
com.intentmedia pig-annotations
com.itextpdf itextpdf
com.j256 ormlite-core
com.j256.simplejmx simplejmx
com.jakewharton hanselandgretel
com.jakewharton hanselandgretel-sample
com.jakewharton pingdom-java
com.javadude antxr
com.javafx scenario
com.jayway.forest forest-samples-angrytoday
com.jayway.restfuljersey restfuljersey
com.jgeppert.struts2.jquery struts2-jquery-plugin
com.jgoodies animation
com.jhlabs filters
com.jhlabs javaproj
com.johnsoncs.gwt gwt-components
com.jolira hickory
com.joshcanfield tapestry-monitoring
com.jpattern jpattern-cojen
com.jpattern jpattern-core
com.jpattern jpattern-ioc
com.jpattern jpattern-jobexecutor
com.jpattern jpattern-logger
com.jpattern jpattern-shared
com.jsftoolkit components-base
com.jslint jslint
com.jsuereth gpg-library_2.9.1
com.jsuereth gpg-library_2.9.2
com.jsuereth scala-arm_2.9.1
com.jsuereth scala-arm_2.9.1-1
com.jsuereth scala-arm_2.9.2
com.jsuereth scala-mojo-support
com.kenai.swingjavabuilderext javabuilder-core
com.kenai.swingjavabuilderext swingjavabuilder
com.keyboardsamurais.maven maven-timestamp-plugin
com.keypoint png-encoder
com.kirkk jaranalyzer
com.kitfox.svg svg-salamander
com.kupal ahk4j
com.kupal skypeCommand
com.kupal.ahk4j ahk4j-core
com.kupal.commons common-data-access
com.kupal.commons common-domain-model
com.kupal.commons common-service
com.l2fprod.common l2fprod-common-buttonbar
com.l2fprod.common l2fprod-common-directorychooser
com.l2fprod.common l2fprod-common-fontchooser
com.l2fprod.common l2fprod-common-outlookbar
com.l2fprod.common l2fprod-common-shared
com.l2fprod.common l2fprod-common-tasks
com.l2fprod.common l2fprod-common-totd
com.laamella.properteer Properteer
com.lamatek googlemaps
com.lambdaworks codec
com.lazerycode.jmeter jmeter-maven-plugin
com.lazythought easyhash
com.lexicalscope.contest contest
com.liferay liferay-portal-src
com.likeness.mojo numbers-parent
com.linkedin.datafu datafu
com.linuxense javadbf
com.lohika.alp alp-flexpilot
com.lohika.alp alp-reporter
com.lohika.alp alp-selenium
com.lohika.alp alp-utils
com.m3 promisedcache_2.9.1
com.madgag pulltorefresh-project
com.madgag sc-bzip2
com.madgag scmail-jdk15on
com.madgag scpg-jdk15on
com.madgag scpkix-jdk15on
com.madgag scprov-jdk15on
com.martiansoftware jsap
com.mattbertolini hermes
com.mattbertolini liquibase-slf4j
com.mchange c3p0
com.mchange mchange-commons-java
com.mebigfatguy fbcontrib
com.megginson.sax xml-writer
com.melloware jspiff
com.metaparadigm json-rpc
com.metapossum metapossum-scanner
com.micheldalal x10
com.mikenimer extjs-springmvc-webapp
com.mks.api mksapi-jar
com.mockrunner mockrunner
com.mockrunner mockrunner-j2ee1.3-jdk1.3
com.mockrunner mockrunner-j2ee1.3-jdk1.4
com.mockrunner mockrunner-j2ee1.3-jdk1.5
com.mockrunner mockrunner-j2ee1.3-jdk1.6
com.mojolly.http http-parsers_2.9.1
com.mojolly.inflector scala-inflector_2.9.0-1
com.mojolly.inflector scala-inflector_2.9.1
com.mojolly.logback logback-akka_2.9.0-1
com.mojolly.logback logback-ext_2.9.1
com.mojolly.scalate scalate-generator_2.9.1-1
com.mojolly.scalate scalate-generator_2.9.2
com.mojolly.scalate xsbt-scalate-generator_2.8.1
com.mojolly.scalate xsbt-scalate-generator_2.9.1-1
com.mojolly.scalate xsbt-scalate-generator_2.9.2
com.mojolly.scalate xsbt-scalate_2.8.1
com.mojolly.scalate xsbt-scalate_2.9.1-1
com.mojolly.scalate xsbt-scalate_2.9.2
com.mtvi.plateng.maven maven-hudson-plugin
com.mysema.spring spring-tx-annotations
com.mysimpatico sqlwrapper
com.nativelibs4java anarres-jnaerator
com.nativelibs4java javacl
com.nativelibs4java javacl-blas
com.nativelibs4java javacl-core
com.nativelibs4java javacl-core-jna
com.nativelibs4java javacl-demos
com.nativelibs4java javacl-demos-jna
com.nativelibs4java javacl-dft-tutorial
com.nativelibs4java javacl-generator
com.nativelibs4java javacl-generator-jna
com.nativelibs4java javacl-interactive-image-demo
com.nativelibs4java javacl-interactive-image-demo-jna
com.nativelibs4java javacl-jna
com.nativelibs4java javacl-opengl-demos
com.nativelibs4java javacl-opengl-demos-jna
com.nativelibs4java javacl-parent
com.nativelibs4java javacl-parent-jna
com.nativelibs4java javacl-simple-tutorial
com.nativelibs4java javacl-tutorial-jna
com.nativelibs4java javacl-tutorials-root
com.nativelibs4java jna-jnaerator
com.nativelibs4java jnaerator
com.nativelibs4java jnaerator-parent
com.nativelibs4java jnaerator-parser
com.nativelibs4java jnaerator-rococoa-runtime
com.nativelibs4java jnaerator-runtime
com.nativelibs4java libcl
com.nativelibs4java maven-javacl-plugin
com.nativelibs4java maven-jnaerator-plugin
com.nativelibs4java maven-velocity-plugin
com.nativelibs4java nativelibs4java-utils
com.nativelibs4java ochafik-swing
com.nativelibs4java ochafik-util
com.nativelibs4java opencl4java
com.nativelibs4java opencl4java-jna
com.natpryce make-it-easy
com.netbout.spi netbout-tk
com.netflix.curator curator-client
com.netflix.curator curator-framework
com.netflix.curator curator-recipes
com.netflix.servo servo-core
com.nexirius jnex
com.nextapp echo2-webcontainer
com.nextapp echo2extras-app
com.nextapp echo2extras-webcontainer
com.nextapp echo3-app
com.nextapp echo3-webcontainer
com.nhncorp.jumble maven-jumble-plugin
com.nicta scoobi_2.9.1
com.ning tr13
com.noahsloan.atg atg-resolver
com.notnoop.apns apns
com.notuvy notuvysingleapp
com.novocode extradoc_2.8.0
com.novus salat_2.8.1
com.nummulus boite-parent
com.ocpsoft ocpsoft-base
com.ocpsoft ocpsoft-docbook-xslt
com.ocpsoft ocpsoft-jdocbook-style
com.octo.captcha jcaptcha-testing
com.offbytwo.class-finder class-finder
com.offbytwo.iclojure iclojure
com.opencloud slee-tasks
com.opensymphony webwork
com.opentok.api opentok-java-sdk
com.oracle.toplink toplink
